year,team,url
2024,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=8b7b3d4e
2024,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=ce8be464
2024,Kia Tigers,https://www.baseball-reference.com/register/team.cgi?id=bc0e9017
2024,Kiwoom Heroes,https://www.baseball-reference.com/register/team.cgi?id=b8e758fe
2024,KT Wiz,https://www.baseball-reference.com/register/team.cgi?id=1004ec43
2024,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=adacf419
2024,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=fa4816af
2024,NC Dinos,https://www.baseball-reference.com/register/team.cgi?id=c9f805af
2024,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=2dbad134
2024,SSG Landers,https://www.baseball-reference.com/register/team.cgi?id=c693fbc3
2023,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=46fb74ab
2023,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=bc1a116f
2023,Kia Tigers,https://www.baseball-reference.com/register/team.cgi?id=202d12bd
2023,Kiwoom Heroes,https://www.baseball-reference.com/register/team.cgi?id=5661fb24
2023,KT Wiz,https://www.baseball-reference.com/register/team.cgi?id=3a32df68
2023,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=a01bea66
2023,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=fac2ad8a
2023,NC Dinos,https://www.baseball-reference.com/register/team.cgi?id=5e54d3e6
2023,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=5f280334
2023,SSG Landers,https://www.baseball-reference.com/register/team.cgi?id=7af0ce4b
2022,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=ad74c922
2022,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=1ca97895
2022,Kia Tigers,https://www.baseball-reference.com/register/team.cgi?id=6dc83e6e
2022,Kiwoom Heroes,https://www.baseball-reference.com/register/team.cgi?id=70a5ad25
2022,KT Wiz,https://www.baseball-reference.com/register/team.cgi?id=86b846ee
2022,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=d2282f35
2022,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=21ee3a57
2022,NC Dinos,https://www.baseball-reference.com/register/team.cgi?id=806d8e66
2022,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=ba521d76
2022,SSG Landers,https://www.baseball-reference.com/register/team.cgi?id=b2f0c632
2021,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=547d336d
2021,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=790fbcec
2021,Kia Tigers,https://www.baseball-reference.com/register/team.cgi?id=317b4154
2021,Kiwoom Heroes,https://www.baseball-reference.com/register/team.cgi?id=25bd07a9
2021,KT Wiz,https://www.baseball-reference.com/register/team.cgi?id=4f5c4439
2021,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=e562a921
2021,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=7ad5b0be
2021,NC Dinos,https://www.baseball-reference.com/register/team.cgi?id=02bfe422
2021,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=9990edb8
2021,SSG Landers,https://www.baseball-reference.com/register/team.cgi?id=119f7034
2020,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=55e9e1d3
2020,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=520fce90
2020,Kia Tigers,https://www.baseball-reference.com/register/team.cgi?id=a16474ae
2020,Kiwoom Heroes,https://www.baseball-reference.com/register/team.cgi?id=30053a8f
2020,KT Wiz,https://www.baseball-reference.com/register/team.cgi?id=5b7d63c8
2020,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=48a0549a
2020,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=dcbb26b6
2020,NC Dinos,https://www.baseball-reference.com/register/team.cgi?id=6fb98b94
2020,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=e8c5dfdb
2020,SK Wyverns,https://www.baseball-reference.com/register/team.cgi?id=d917beac
2019,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=5adff64d
2019,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=e33f131b
2019,Kia Tigers,https://www.baseball-reference.com/register/team.cgi?id=d3dec042
2019,Kiwoom Heroes,https://www.baseball-reference.com/register/team.cgi?id=94cebd4b
2019,KT Wiz,https://www.baseball-reference.com/register/team.cgi?id=d11780ab
2019,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=680dbde1
2019,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=5a5b88b3
2019,NC Dinos,https://www.baseball-reference.com/register/team.cgi?id=c958ce5c
2019,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=6bebcd00
2019,SK Wyverns,https://www.baseball-reference.com/register/team.cgi?id=057aea68
2018,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=76fc3141
2018,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=42d98d42
2018,Kia Tigers,https://www.baseball-reference.com/register/team.cgi?id=684c856e
2018,KT Wiz,https://www.baseball-reference.com/register/team.cgi?id=2b821d38
2018,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=77f134cc
2018,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=7154d748
2018,NC Dinos,https://www.baseball-reference.com/register/team.cgi?id=fd6c0c14
2018,Nexen Heroes,https://www.baseball-reference.com/register/team.cgi?id=5659b4ad
2018,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=2962dc25
2018,SK Wyverns,https://www.baseball-reference.com/register/team.cgi?id=1be13c3b
2017,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=7f581d95
2017,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=add6ceda
2017,Kia Tigers,https://www.baseball-reference.com/register/team.cgi?id=ffd7836e
2017,KT Wiz,https://www.baseball-reference.com/register/team.cgi?id=ff35efab
2017,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=a25b4633
2017,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=09cc55cb
2017,NC Dinos,https://www.baseball-reference.com/register/team.cgi?id=46b5e09c
2017,Nexen Heroes,https://www.baseball-reference.com/register/team.cgi?id=019ef4a4
2017,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=77b2b3d8
2017,SK Wyverns,https://www.baseball-reference.com/register/team.cgi?id=4e56d9bb
2016,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=41e9e250
2016,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=8b5c78c6
2016,Kia Tigers,https://www.baseball-reference.com/register/team.cgi?id=ee53d6b2
2016,KT Wiz,https://www.baseball-reference.com/register/team.cgi?id=255d60e5
2016,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=60b24d86
2016,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=877c2336
2016,NC Dinos,https://www.baseball-reference.com/register/team.cgi?id=ca0d6afe
2016,Nexen Heroes,https://www.baseball-reference.com/register/team.cgi?id=f3b67ef8
2016,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=f38f4aa1
2016,SK Wyverns,https://www.baseball-reference.com/register/team.cgi?id=8b1a5612
2015,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=37eaa4c7
2015,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=60525cee
2015,Kia Tigers,https://www.baseball-reference.com/register/team.cgi?id=26cca6b3
2015,KT Wiz,https://www.baseball-reference.com/register/team.cgi?id=709b7df7
2015,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=dc17ab6b
2015,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=d77c3364
2015,NC Dinos,https://www.baseball-reference.com/register/team.cgi?id=35bd2afe
2015,Nexen Heroes,https://www.baseball-reference.com/register/team.cgi?id=6397df41
2015,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=3d542de5
2015,SK Wyverns,https://www.baseball-reference.com/register/team.cgi?id=37939261
2014,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=59c19826
2014,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=4917d993
2014,Kia Tigers,https://www.baseball-reference.com/register/team.cgi?id=4ca10c2f
2014,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=cf70ea65
2014,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=ff484f04
2014,NC Dinos,https://www.baseball-reference.com/register/team.cgi?id=bb46816b
2014,Nexen Heroes,https://www.baseball-reference.com/register/team.cgi?id=1f020c41
2014,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=a038d059
2014,SK Wyverns,https://www.baseball-reference.com/register/team.cgi?id=112e12d6
2013,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=1b285681
2013,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=502aa2ac
2013,Kia Tigers,https://www.baseball-reference.com/register/team.cgi?id=bb9774c9
2013,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=7b6f4937
2013,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=1bb9dcff
2013,NC Dinos,https://www.baseball-reference.com/register/team.cgi?id=ea0c4b0e
2013,Nexen Heroes,https://www.baseball-reference.com/register/team.cgi?id=cefb6f35
2013,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=5b4c1094
