name_eng,url
Seung Han Ahn,https://www.baseball-reference.com/register/player.fcgi?id=ahn---000seu
Raúl Alcántara,https://www.baseball-reference.com/register/player.fcgi?id=alcant001rau
Jordan Balazovic,https://www.baseball-reference.com/register/player.fcgi?id=balazo000jor
Kyu Bin Chang,https://www.baseball-reference.com/register/player.fcgi?id=chang-001kyu
Ji Kang Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--000jik
Jong In Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--002jon
Jun Ho Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--002jun
Seung Yong Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--004seu
Won Joon Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--002don
Been Gwak,https://www.baseball-reference.com/register/player.fcgi?id=gwak--000bee
Kyeong-min Ho,https://www.baseball-reference.com/register/player.fcgi?id=heo---000kye
Geon Hui Hong,https://www.baseball-reference.com/register/player.fcgi?id=hong--000keo
Seong Ho Hong,https://www.baseball-reference.com/register/player.fcgi?id=hong--004seo
Jong Sung Im,https://www.baseball-reference.com/register/player.fcgi?id=im----000jon
Seung Hyun Jang,https://www.baseball-reference.com/register/player.fcgi?id=jang--000seu
Da Min Jeon,https://www.baseball-reference.com/register/player.fcgi?id=jeon--000dam
Min Jae Jeon,https://www.baseball-reference.com/register/player.fcgi?id=jeon--000min
Cheol Won Jeong,https://www.baseball-reference.com/register/player.fcgi?id=jeong-000che
Soo Haeng Jo,https://www.baseball-reference.com/register/player.fcgi?id=cho---000soo
Soo Bin Jung,https://www.baseball-reference.com/register/player.fcgi?id=jeong-000soo
Seung Ho Kang,https://www.baseball-reference.com/register/player.fcgi?id=kang--000seu
Dae Han Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---011dae
Do Yun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000doy
Dong Ju Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---026don
Ho Jun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---001hoj
In Tae Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---005in-
Jae Hwan Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---008jae
Jae-ho Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---007jae
Jung-woo Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---008jun
Kang Ryul Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---001gan
Ki-yeon Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---002ki-
Min Gyu Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---025min
Min Hyeok Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---021min
Myeong Sin Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---005mye
Tae-geun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---029tae
Taek Yeon Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---035tae
Yu Seong Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000yus
Hwi Kwon,https://www.baseball-reference.com/register/player.fcgi?id=kwon--000hwi
Byeong Heon Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---004bye
Byung-hwee Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---003byu
Kyo Hoon Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---000kyo
Young Ha Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---000you
Myeong Jin Oh,https://www.baseball-reference.com/register/player.fcgi?id=oh----002mye
Chi Guk Park,https://www.baseball-reference.com/register/player.fcgi?id=park--000chi
Gye Beom Park,https://www.baseball-reference.com/register/player.fcgi?id=park--001gye
Ji Ho Park,https://www.baseball-reference.com/register/player.fcgi?id=park--002jih
Jong Ki Park,https://www.baseball-reference.com/register/player.fcgi?id=park--005jon
Jun Young Park,https://www.baseball-reference.com/register/player.fcgi?id=park--003joo
Jung Soo Park,https://www.baseball-reference.com/register/player.fcgi?id=park--006jeo
Min Jun Park,https://www.baseball-reference.com/register/player.fcgi?id=park--007min
Shin-jee Park,https://www.baseball-reference.com/register/player.fcgi?id=park--000shi
Henry Ramos,https://www.baseball-reference.com/register/player.fcgi?id=ramos-001hen
Hyun Jun Ryu,https://www.baseball-reference.com/register/player.fcgi?id=ryu---002hyu
Ye Il Seo,https://www.baseball-reference.com/register/player.fcgi?id=seo---000ye-
Keisho Shirakawa,https://www.baseball-reference.com/register/player.fcgi?id=shirak000kei
Brandon Waddell,https://www.baseball-reference.com/register/player.fcgi?id=waddel000bra
Chan Yeol Yang,https://www.baseball-reference.com/register/player.fcgi?id=yang--001cha
Suk Hwan Yang,https://www.baseball-reference.com/register/player.fcgi?id=yang--001seo
Ui-ji Yang,https://www.baseball-reference.com/register/player.fcgi?id=yang--000ui-
Tong Keon Yeo,https://www.baseball-reference.com/register/player.fcgi?id=yeo---000ton
