name_eng_x,date_of_birth,url_x,name_new,name_kor,name_eng_y,url_y
,2005-01-26,,an seok jeong,정안석,An-seok Jeong,https://statiz.sporki.com/player/?m=playerinfo&p_no=16109
,1995-05-13,,beom jeong lee,이범정,Beom-Jung Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=13234
,1997-09-18,,beom jun cho,조범준,Beom-Jun Jo,https://statiz.sporki.com/player/?m=playerinfo&p_no=14677
,2000-09-30,,beom jun kim,김범준,Beom-Jun Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14710
,2002-06-01,,beom jun shin,신범준,Beom-Jun Shin,https://statiz.sporki.com/player/?m=playerinfo&p_no=14774
,1997-04-05,,beop su kwon,권법수,Beop-Su Kwon,https://statiz.sporki.com/player/?m=playerinfo&p_no=12904
,1999-07-10,,bin jang,장빈,Bin Jang,https://statiz.sporki.com/player/?m=playerinfo&p_no=14837
,2000-04-03,,bo woong cheon,천보웅,Bo-Woong Cheon,https://statiz.sporki.com/player/?m=playerinfo&p_no=15430
,1997-06-17,,boo seong park,박부성,Bu-Seong Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=12912
,1990-03-31,,byeong geol woo,우병걸,Byeong-Geol Woo,https://statiz.sporki.com/player/?m=playerinfo&p_no=10700
,1997-01-29,,byeong hoon lee,이병훈,Byung-Hun Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=12581
,1995-01-17,,byeong hoon noh,노병훈,Byung-Hoon Noh,https://statiz.sporki.com/player/?m=playerinfo&p_no=13254
,1991-10-01,,byeong hoon park,박병훈,Byung-Hoon Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=11221
,1994-05-31,,byeong jae kim,김병재,Byung-Jae Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=13263
,1968-06-23,,byeong joo kim,김병주,Byung-Joo Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=11429
,2002-05-28,,byeong jun lee,이병준,Byung-Jun Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=14817
,1993-07-07,,byeong keun kim,김병근,Byung-Keun Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=10912
,1999-08-13,,byeong kyu cho,조병규,Byung-Gyu Cho,https://statiz.sporki.com/player/?m=playerinfo&p_no=13098
,1998-04-27,,byeong moo kang,강병무,Byung-Moo Kang,https://statiz.sporki.com/player/?m=playerinfo&p_no=12896
,1994-08-04,,byeong seon kwak,곽병선,Byung-seon Kwak,https://statiz.sporki.com/player/?m=playerinfo&p_no=13238
,2005-09-12,,byeong sun ryu,유병선,BYUNG-SUN RYU,https://statiz.sporki.com/player/?m=playerinfo&p_no=15873
,2003-12-12,,byeong woo kang,강병우,Byung-Woo Kang,https://statiz.sporki.com/player/?m=playerinfo&p_no=15059
