code,year
2,1982
2,1983
2,1984
2,1985
2,1986
2,1987
2,1988
2,1989
2,1990
2,1991
2,1992
2,1993
2,1994
2,1995
2,1996
2,1997
2,1998
2,1999
2,2000
2,2001
2,2002
2,2003
2,2004
2,2005
2,2006
2,2007
2,2008
2,2009
2,2010
2,2011
2,2012
2,2013
2,2014
2,2015
2,2016
2,2017
2,2018
2,2019
2,2020
2,2021
2,2022
2,2023
2,2024
1,1982
1,1983
1,1984
1,1985
1,1986
1,1987
1,1988
1,1989
1,1990
1,1991
1,1992
1,1993
1,1994
1,1995
1,1996
1,1997
1,1998
1,1999
1,2000
1,2001
1,2002
1,2003
1,2004
1,2005
1,2006
1,2007
1,2008
1,2009
1,2010
1,2011
1,2012
1,2013
1,2014
1,2015
1,2016
1,2017
1,2018
1,2019
1,2020
1,2021
1,2022
1,2023
1,2024
6,1982
6,1983
6,1984
6,1985
6,1986
6,1987
6,1988
6,1989
6,1990
6,1991
6,1992
6,1993
6,1994
6,1995
6,1996
6,1997
6,1998
6,1999
6,2000
6,2001
6,2002
6,2003
6,2004
6,2005
6,2006
6,2007
6,2008
6,2009
6,2010
6,2011
6,2012
6,2013
6,2014
6,2015
6,2016
6,2017
6,2018
6,2019
6,2020
6,2021
6,2022
6,2023
6,2024
9,2000
9,2001
9,2002
9,2003
9,2004
9,2005
9,2006
9,2007
9,2008
9,2009
9,2010
9,2011
9,2012
9,2013
9,2014
9,2015
9,2016
9,2017
9,2018
9,2019
9,2020
9,2021
9,2022
9,2023
9,2024
4,1982
4,1983
4,1984
4,1985
4,1986
4,1987
4,1988
4,1989
4,1990
4,1991
4,1992
4,1993
4,1994
4,1995
4,1996
4,1997
4,1998
4,1999
4,2000
4,2001
4,2002
4,2003
4,2004
4,2005
4,2006
4,2007
5,1982
5,1983
5,1984
5,1985
5,1986
5,1987
5,1988
5,1989
5,1990
5,1991
5,1992
5,1993
5,1994
5,1995
5,1996
5,1997
5,1998
5,1999
5,2000
5,2001
5,2002
5,2003
5,2004
5,2005
5,2006
5,2007
5,2008
5,2009
5,2010
5,2011
5,2012
5,2013
5,2014
5,2015
5,2016
5,2017
5,2018
5,2019
5,2020
5,2021
5,2022
5,2023
5,2024
3,1982
3,1983
3,1984
3,1985
3,1986
3,1987
3,1988
3,1989
3,1990
3,1991
3,1992
3,1993
3,1994
3,1995
3,1996
3,1997
3,1998
3,1999
3,2000
3,2001
3,2002
3,2003
3,2004
3,2005
3,2006
3,2007
3,2008
3,2009
3,2010
3,2011
3,2012
3,2013
3,2014
3,2015
3,2016
3,2017
3,2018
3,2019
3,2020
3,2021
3,2022
3,2023
3,2024
12,2013
12,2014
12,2015
12,2016
12,2017
12,2018
12,2019
12,2020
12,2021
12,2022
12,2023
12,2024
13,2015
13,2016
13,2017
13,2018
13,2019
13,2020
13,2021
13,2022
13,2023
13,2024
11,2008
11,2009
11,2010
11,2011
11,2012
11,2013
11,2014
11,2015
11,2016
11,2017
11,2018
11,2019
11,2020
11,2021
11,2022
11,2023
11,2024
8,1991
8,1992
8,1993
8,1994
8,1995
8,1996
8,1997
8,1998
8,1999
