name_eng_x,url,name_new,name_kor,name_eng_y
Aaron Brooks,https://www.baseball-reference.com/register/player.fcgi?id=brooks000aar,aaron brooks,,
,,aaron lee brooks,브룩스,Aaron Lee Brooks
,,adam gregory plutko,플럿코,Adam Gregory Plutko
Adam Plutko,https://www.baseball-reference.com/register/player.fcgi?id=plutko001ada,adam plutko,,
,,adam robert wilk,아담,Adam Robert Wilk
Adam Wilk,https://www.baseball-reference.com/register/player.fcgi?id=wilk--001ada,adam wilk,,
Addison Russell,https://www.baseball-reference.com/register/player.fcgi?id=russel001add,addison russell,,
,,addison wayne russell,러셀,Addison Wayne Russell
Adrian Burnside,https://www.baseball-reference.com/register/player.fcgi?id=burnsi001adr,adrian burnside,,
,,adrian mark burnside,번사이드,Adrian Mark Burnside
Al Martin,https://www.baseball-reference.com/register/player.fcgi?id=martin001alb,al martin,,
,,albert joe suarez,수아레즈,Albert Joe Suárez
,,albert martin,마틴,Albert Martin
Albert Suárez,https://www.baseball-reference.com/register/player.fcgi?id=suarez001alb,albert suarez,,
,,alessandro maestri,마에스트리,Alessandro Maestri
Alex Maestri,https://www.baseball-reference.com/register/player.fcgi?id=maestr001ale,alex maestri,,
Allen Webster,https://www.baseball-reference.com/register/player.fcgi?id=webste001car,allen webster,,
,,amaury regalado telemaco,텔레마코,Amaury Regalado Telemaco
Amaury Telemaco,https://www.baseball-reference.com/register/player.fcgi?id=telema001ama,amaury telemaco,,
,,an seok jeong,정안석,An-seok Jeong
,,andrew david burns,번즈,Andrew David Burns
,,andrew james anderson,앤더슨,Andrew James Anderson
,,andrew james rucinski,루친스키,Andrew James Rucinski
,,andrew jose suarez,수아레즈,Andrew Jose Suarez
,,andrew m. drew gagnon,가뇽,Andrew M. Drew Gagnon
,,andrew sisco,시스코,Andrew Sisco
Andrew Suárez,https://www.baseball-reference.com/register/player.fcgi?id=suarez002and,andrew suarez,,
,,andrew walker lockett,로켓,Andrew Walker Lockett
Andy Burns,https://www.baseball-reference.com/register/player.fcgi?id=burns-001and,andy burns,,
Andy Sisco,https://www.baseball-reference.com/register/player.fcgi?id=sisco-001and,andy sisco,,
,,angel luis sanchez,산체스,Angel Luis Sanchez
,,angel maria pena,엔젤,Angel Maria Pena
Ángel Peña,https://www.baseball-reference.com/register/player.fcgi?id=pena--001ang,angel pena,,
Ángel Sánchez,https://www.baseball-reference.com/register/player.fcgi?id=sanche008ang,angel sanchez,,
,,anthony allen lerew,앤서니,Anthony Allen Lerew
Anthony Lerew,https://www.baseball-reference.com/register/player.fcgi?id=lerew-001ant,anthony lerew,,
,,ariel bolivar jurado agrazal,후라도,Ariel Bolívar Jurado Agrazal
Ariel Jurado,https://www.baseball-reference.com/register/player.fcgi?id=jurado000ari,ariel jurado,,
Arquimedez Pozo,https://www.baseball-reference.com/register/player.fcgi?id=pozo--001arq,arquimedez pozo,,
,,arquimedez pozo ortiz,포조,Arquimedez Pozo Ortiz
Artie Lewicki,https://www.baseball-reference.com/register/player.fcgi?id=lewick000art,artie lewicki,,
,,artie michael lewicki,르위키,Artie Michael Lewicki
Austin Dean,https://www.baseball-reference.com/register/player.fcgi?id=dean--000aus,austin dean,,
,,austin james dean,오스틴,Austin James Dean
,,beau grayson sulser,슐서,Beau Grayson Sulser
Beau Sulser,https://www.baseball-reference.com/register/player.fcgi?id=sulser000bea,beau sulser,,
Ben Jukich,https://www.baseball-reference.com/register/player.fcgi?id=jukich001ben,ben jukich,,
Ben Lively,https://www.baseball-reference.com/register/player.fcgi?id=lively001edw,ben lively,,
Ben Rivera,https://www.baseball-reference.com/register/player.fcgi?id=rivera001bie,ben rivera,,
,,benjamin jukich,주키치,Benjamin Jukich
,,bennett lively,라이블리,Bennett Lively
,,beom hyeon cho,조범현,Beom-Hyeon Cho
,,beom jun cho,조범준,Beom-Jun Jo
Beom Jun Park,https://www.baseball-reference.com/register/player.fcgi?id=park--000beo,beom jun park,,
,,beom jun shin,신범준,Beom-Jun Shin
,,beom jung lee,이범정,Beom-Jung Lee
Beom Su Jeong,https://www.baseball-reference.com/register/player.fcgi?id=jeong-001beo,beom su jeong,,
,,beop su kwon,권법수,Beop-Su Kwon
,,beum soo jeong,정범수,Beum-Soo Jung
,,bienvenido rivera,리베라,Bienvenido Rivera
,,bin jang,장빈,Bin Jang
Bo Magee,https://www.baseball-reference.com/register/player.fcgi?id=magee-001dan,bo magee,,
Bo Takahashi,https://www.baseball-reference.com/register/player.fcgi?id=takaha000rod,bo takahashi,,
,,bo woong cheon,천보웅,Bo-Woong Cheon
,,boo sung park,박부성,Bu-Sung Park
Brad Thomas,https://www.baseball-reference.com/register/player.fcgi?id=thomas001bra,brad thomas,,
,,bradley richard thomas,토마스,Bradley Richard Thomas
Brandon Barnes,https://www.baseball-reference.com/register/player.fcgi?id=barnes001bra,brandon barnes,,
,,brandon david waddell,브랜든,Brandon David Waddell
,,brandon michael barnes,반즈,Brandon Michael Barnes
Brandon Waddell,https://www.baseball-reference.com/register/player.fcgi?id=waddel000bra,brandon waddell,,
Brent Bowers,https://www.baseball-reference.com/register/player.fcgi?id=bowers001bre,brent bowers,,
,,brent raymond bowers,바워스,Brent Raymond Bowers
,,brett michael pill,필,Brett Michael Pill
Brett Pill,https://www.baseball-reference.com/register/player.fcgi?id=pill--001bre,brett pill,,
,,brian ernest gordon,고든,Brian Ernest Gordon
Brian Gordon,https://www.baseball-reference.com/register/player.fcgi?id=gordon001bri,brian gordon,,
,,brian mazone,매존,Brian Mazone
,,brock d. dykxhoorn,다익손,Brock D. Dykxhoorn
Brock Dykxhoorn,https://www.baseball-reference.com/register/player.fcgi?id=dykxho000bro,brock dykxhoorn,,
Bubba Carpenter,https://www.baseball-reference.com/register/player.fcgi?id=carpen002cha,bubba carpenter,,
Bum Hyun Cho,https://www.baseball-reference.com/register/player.fcgi?id=cho---000beo,bum hyun cho,,
,,bum jun park,박범준,Bum-jun Park
Burch Smith,https://www.baseball-reference.com/register/player.fcgi?id=smith-003bur,burch smith,,
,,burch taylor smith,스미스,Burch Taylor Smith
Byeong-cheon Cho,https://www.baseball-reference.com/register/player.fcgi?id=cho---001bye,byeong cheon cho,,
Byeong-do Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---001bye,byeong do kim,,
,,byeong gon jeong,정병곤,Byeong-Gon Jung
Byeong-gwon Mun,https://www.baseball-reference.com/register/player.fcgi?id=mun---000bye,byeong gwon moon,,
,,byeong heui jeong,정병희,Byeong-Heui Jeong
Byeong-ho Pak,https://www.baseball-reference.com/register/player.fcgi?id=pak---000bye,byeong ho park,,
,,byeong hui kim,김병희,Byeong-Hui Kim
Byeong-hun Kam,https://www.baseball-reference.com/register/player.fcgi?id=kam---000bye,byeong hun kam,,
Byeong-hun Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---002bye,byeong hun lee,,
,,byeong hyeon kim,김병현,Byeong-Hyeon Kim
Byeong-hyi Chung,https://www.baseball-reference.com/register/player.fcgi?id=jeong-000bye,byeong hyi jeong,,
Byeong-hyi Son,https://www.baseball-reference.com/register/player.fcgi?id=son---000bye,byeong hyi sohn,,
Byeong-jun Ye,https://www.baseball-reference.com/register/player.fcgi?id=ye----000bye,byeong jun ye,,
Byeong-gyu Kang,https://www.baseball-reference.com/register/player.fcgi?id=kang--000bye,byeong kyu kang,,
,,byeong kyu lee,이병규,Byeong-Kyu Lee
Byeong-meong Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---003bye,byeong meong lee,,
Byeong-seon Kang,https://www.baseball-reference.com/register/player.fcgi?id=kang--004bye,byeong seon kang,,
,,byeong ui kang,강병의,Byeong-Ui Kang
Byeong Uk Jo,https://www.baseball-reference.com/register/player.fcgi?id=jo----000bye,byeong uk cho,,
,,byeong woo park,박병우,Byeong-u Park
,,byeong wook cho,조병욱,Byeong-Wook Jo
,,byeong yeon choi,최병연,Byeong-Yeon Choi
Byong Yeon Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--000byu,byong yeon choi,,
Byoung Gon Jung,https://www.baseball-reference.com/register/player.fcgi?id=chung-000byo,byoung gon jeong,,
,,byoung woo kang,강병우,Byoung-Woo Kang
,,byung chun cho,조병천,Byung-Chun Cho
,,byung doo kim,김병두,Byung-Doo Kim
,,byung eok lee,이병억,Byung-Eok Lee
,,byung geol woo,우병걸,Byunggeol Woo
Byung Hee Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---002byu,byung hee kim,,
,,byung hee sohn,손병희,Byung-Hee Son
,,byung hoon kam,감병훈,Byung-Hoon Gam
,,byung hoon lee,이병훈,Byung-Hoon Lee
,,byung hoon noh,노병훈,Byung-Hoon Noh
,,byung hoon park,박병훈,Byung-Hoon Park
,,byung hun lee,이병훈,Byung-Hun Lee
Byung-hwee Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---003byu,byung hwee lee,,
Byung-Hyun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---001byu,byung hyun kim,,
,,byung jae kim,김병재,Byung-Jae Kim
,,byung joo kim,김병주,Byung-Joo Kim
,,byung jun kim,김병준,Byung-Jun Kim
,,byung jun lee,이병준,Byung-Jun Lee
,,byung jun ye,예병준,Byung-Jun Ye
,,byung keun kim,김병근,Byung-Keun Kim
,,byung kwon moon,문병권,Byung-Kwon Moon
,,byung kyu cho,조병규,Byung-Gyu Cho
,,byung kyu kang,강병규,Byung-Kyu Kang
,,byung moo kang,강병무,Byung-Moo Kang
,,byung seon kwak,곽병선,Byung-seon Kwak
,,byung soo kang,강병수,Byung-Soo Kang
,,byung sun kang,강병선,Byung-Sun Kang
,,byung sun ryu,유병선,BYUNG-SUN RYU
