name_kor,name_eng
김일권,Il-Kwon Kim
김경훈,Kyung-Hoon Kim
조충열,Chung-Yeol Cho
차영화,Young-Hwa Cha
김종모,Jong-Mo Kim
김종윤,Jong-Yoon Kim
김준환,Jun-Hwan Kim
김성한,Sung-Han Kim
홍순만,Soon-Man Hong
이상윤,Sang-Yoon Lee
강만식,Man-Sik Kang
임정면,Jung-Myun Lim
김우근,Woo-Geun Kim
방수원,Soo-Won Bang
박전섭,Jeon-Sub Park
최영조,Young-Jo Choi
신태중,Tae-Joong Shin
김봉연,Bong-Yeon Kim
김용만,Yong-Man Kim
김용남,Yong-Nam Kim
김일환,Il-Hwan Kim
서정환,Jung-Hwan Seo
김현재,Hyun-Jae Kim
주동식,Dong-Sik Joo
장진범,Jin-Beom Jang
김무종,Moo-Jong Kim
엄평재,Um Pyungjae
양승호,Seung-Ho Yang
황기선,Ki-Sun Hwang
조종규,Jong-Gyu Cho
송일섭,Il-Sub Song
강정남,Jung-Nam Kang
유승안,Seung-An Yu
문희수,Hee-Soo Moon
조도연,Do-Yeon Cho
최상주,Sang-Ju Choi
송유석,Yu-Seok Song
이순철,Soon-Chul Lee
선동열,Dong-Yeol Sun
임창호,Chang-Ho Lim
김기철,Gi-Chul Kim
신태순,Tae-Soon Shin
김태업,Tae-Up Kim
한대화,Dae-Hwa Han
김평호,Pyung-Ho Kim
김경호,Kyung-Ho Kim
장채근,Chae-Geun Jang
김대현,Dae-Hyun Kim
차동철,Dong-Chul Cha
신동수,Dong-Soo Shin
김정수,Jung-Soo Kim
이건열,Geon-Yeol Lee
강상진,Sang-Jin Kang
김만후,Man-Hoo Kim
박철우,Chul-Woo Park
조재환,Jae-Hwan Cho
백인수,In-Soo Baek
서창기,Chang-Ki Seo
김성규,Sung-Kyu Kim
윤재호,Jae-Ho Yun
김태완,Tae-Wahn Kim
이광우,Kwang-Woo Lee
이강철,Kang-Chul Lee
박병호,Byung-Ho Park
조계현,Kye-Hyeon Cho
장호익,Ho-Ik Jang
문승훈,Seung-Hoon Moon
강태원,Tae-Won Kang 
이경복,Kyung-Bok Lee
김정훈,Jung-Hoon Kim
유창균,Chang-Kyun Yoo 
정동해,Dong-Hae Jung
조찬관,Chan-Kwan Cho
홍현우,Hyun-Woo Hong
강대성,Dae-Sung Kang 
정회열,Hoi-Yeol Jung
이호성,Ho-Sung Lee
최향남,Hyang-Nam Choi
양민석,Min-Seok Yang
서정필,Jung-Pil Seo 
최태영,Tae-Young Choi 
김병두,Byung-Doo Kim
정성훈,Sung-Hoon Jung
박현수,Hyun-Soo Park 
오희주,Hee-Ju Oh 
이종택,Jong-Taek Lee
김재덕,Jae-Duk Kim
김승남,Seung-Nam Kim 
양회열,Hoi-Yeol Yang
문귀석,Gui-Seok Moon 
김병조,Byung-Jo Kim
박노준,No-Jun Park
김태동,Tae-Dong Kim
김봉영,Bong-Young Kim 
박재벌,Jae-Beol Park
양승철,Seungchul Yang 
구한성,Han-Sung Gu
김형택,Hyung-Taek Kim 
오명종,Myung-Jong Oh
신경호,Kyung-Ho Shin
이용석,Yong-Seok Lee
이종범,Jong-Beom Lee
정성룡,Sung-Ryong Jung
김훈,Hoon Kim
이대진,Dae-Jin Lee
박진철,Jin-Chul Park 
이재만,Jae-Man Lee
이민호,Min-Ho Lee
이우혁,Woo-Hyuk Lee 
조용수,Yong-Soo Cho 
지윤석,Yoon-Seok Ji
유진우,Jin-Woo Yoo
김상훈,Sang-Hoon Kim
전성철,Sung-Chul Jeon
송인호,In-Ho Song
박재용,Jae-Yong Park
김신,Shin Kim
최해식,Hae-Sik Choi
최희창,Hee-Chang Choi
이호준,Ho-Jun Lee
최재영,Jae-Young Choi 
이병훈,Byung-Hoon Lee
김지영,Ji-Young Kim
배훈,Hoon Bae
박기택,Gi-Taek Park
김형성,Hyung-Sung Kim
최철민,Chul-Min Choi
이원식,Won-Sik Lee 
임창용,Chang-Yong Lim
이용훈,Yong-Hoon Lee 
안상준,Sang-Jun An
남상규,Sang-Kyu Nam
추평호,Pyeong-Ho Choo
장성호,Seong-Ho Jang
김경하,Kyung-Ha Kim
김상진,Sang-Jin Kim 
황성기,Sung-Ki Hwang
동봉철,Bong-chul Dong
박철웅,Chul-Woong Park 
김태룡,Tae-Ryong Kim
최상덕,Sang-Deok Choi
권오성,O-sung Kwon
이동욱,Dong-Wook Lee
윤형진,Hyung-Jin Yoon 
우승진,Seung-Jin Woo 
김종국,Jong-Guk Kim
조현,Hyun Cho
최훈재,Hoon-Jae Choi
장석희,Seok-Hee Jang 
오철민,Chul-Min Oh 
조남기,Nam-Ki Cho
김동호,Dong-Ho Kim 
김창희,Chang-Hei Kim
방수환,Soo-Hwan Bang
이우석,Woo-Seok Lee
곽현희,Hyun-Hee Kwak
이병석,Byung-Seok Lee
엄병열,Byung-Yeol Eom
헤어,Shawn Robert Hare
지승준,Seung-Jun Ji
류기중,Ki-Joong Ryu 
소소경,So-Kyung So 
정성훈,Seong-Hun Jeong
장일현,Il-Hyun Jang
박계원,Gye-Won Park
양준혁,Joon-Hyuk Yang
김경진,Kyung-Jin Kim
오봉옥,Bong-Ok Oh
권명철,Myeong-Cheol Kwon
